x y
4.14000000000000 0.000000000000000
4.140 0.1000
4.152 0.1993
4.175 0.2966
4.207 0.3912
4.248 0.4825
4.296 0.5705
4.349 0.6553
4.406 0.7372
4.467 0.8163
4.532 0.8928
4.599 0.9669
4.669 1.039
4.741 1.108
4.815 1.175
4.891 1.239
4.969 1.302
5.050 1.361
5.132 1.418
5.216 1.472
5.302 1.524
5.390 1.571
5.479 1.616
5.571 1.657
5.664 1.693
5.758 1.726
5.854 1.754
5.952 1.777
6.050 1.795
6.149 1.807
6.249 1.815
6.349 1.817
6.449 1.813
6.548 1.804
6.647 1.790
6.745 1.770
6.842 1.746
6.938 1.717
7.032 1.683
7.125 1.646
7.216 1.604
7.306 1.560
7.393 1.512
7.479 1.461
7.564 1.407
7.646 1.351
7.727 1.292
7.807 1.231
7.884 1.168
7.960 1.103
8.035 1.036
8.107 0.9672
8.178 0.8964
8.246 0.8237
8.313 0.7491
8.377 0.6724
8.438 0.5934
8.496 0.5119
8.550 0.4276
8.599 0.3403
8.641 0.2495
8.674 0.1552
8.696 0.05773
8.705 -0.04189
8.699 -0.1417
8.678 -0.2395
8.645 -0.3338
8.602 -0.4241
8.552 -0.5107
8.496 -0.5939
8.437 -0.6742
8.374 -0.7520
8.308 -0.8276
8.241 -0.9012
8.171 -0.9728
8.099 -1.043
8.026 -1.111
7.951 -1.177
7.875 -1.242
7.797 -1.304
7.718 -1.365
7.637 -1.424
7.554 -1.481
7.470 -1.535
7.385 -1.586
7.298 -1.635
7.209 -1.682
7.119 -1.724
7.027 -1.764
6.933 -1.800
6.839 -1.832
6.742 -1.859
6.645 -1.883
6.547 -1.901
6.448 -1.915
6.348 -1.923
6.248 -1.926
6.148 -1.925
6.049 -1.918
5.949 -1.906
5.851 -1.889
5.753 -1.867
5.657 -1.841
5.561 -1.811
5.467 -1.776
5.375 -1.738
5.284 -1.697
5.194 -1.653
5.106 -1.605
5.019 -1.556
4.934 -1.503
4.850 -1.449
4.768 -1.392
4.686 -1.334
4.606 -1.274
4.528 -1.213
4.450 -1.150
4.373 -1.085
4.298 -1.020
4.223 -0.9529
