x y
9 -1
8.908 -1.038
8.817 -1.081
8.729 -1.128
8.642 -1.177
8.556 -1.229
8.471 -1.281
8.387 -1.335
8.303 -1.389
8.219 -1.444
8.135 -1.498
8.051 -1.552
7.966 -1.605
7.881 -1.658
7.796 -1.710
7.709 -1.760
7.622 -1.809
7.534 -1.857
7.445 -1.902
7.355 -1.945
7.264 -1.987
7.171 -2.025
7.078 -2.061
6.984 -2.094
6.888 -2.123
6.791 -2.149
6.694 -2.171
6.596 -2.189
6.496 -2.203
6.397 -2.213
6.297 -2.218
6.197 -2.218
6.097 -2.214
5.997 -2.206
5.898 -2.193
5.800 -2.177
5.702 -2.156
5.605 -2.131
5.509 -2.103
5.414 -2.071
5.320 -2.037
5.228 -1.999
5.136 -1.959
5.045 -1.917
4.956 -1.873
4.867 -1.827
4.779 -1.779
4.692 -1.730
4.605 -1.680
4.519 -1.630
4.433 -1.578
4.348 -1.526
4.263 -1.474
4.177 -1.422
4.092 -1.370
4.006 -1.319
3.919 -1.269
3.832 -1.220
3.743 -1.174
3.653 -1.131
3.561 -1.091
3.467 -1.056
3.372 -1.027
3.274 -1.005
3.175 -0.9923
3.075 -0.9890
2.975 -0.9957
2.876 -1.012
2.780 -1.037
2.685 -1.069
2.593 -1.108
2.502 -1.150
2.413 -1.196
2.326 -1.245
2.240 -1.295
2.154 -1.347
2.069 -1.400
1.984 -1.453
1.900 -1.506
1.815 -1.559
1.730 -1.612
1.645 -1.665
1.559 -1.716
1.473 -1.766
1.386 -1.815
1.298 -1.863
1.209 -1.909
1.119 -1.953
1.028 -1.995
0.9364 -2.034
0.8434 -2.071
0.7493 -2.105
0.6542 -2.136
0.5580 -2.163
0.4608 -2.187
0.3629 -2.207
0.2641 -2.223
0.1648 -2.234
0.06507 -2.242
-0.03489 -2.245
-0.1349 -2.243
-0.2347 -2.237
-0.3342 -2.227
-0.4331 -2.212
-0.5313 -2.193
-0.6288 -2.171
-0.7253 -2.145
-0.8208 -2.115
-0.9153 -2.083
-1.009 -2.047
-1.101 -2.009
-1.193 -1.968
-1.283 -1.925
-1.373 -1.881
-1.461 -1.835
-1.549 -1.787
-1.636 -1.738
-1.723 -1.688
-1.809 -1.638
-1.895 -1.587
-1.981 -1.536
-2.067 -1.484
-2.153 -1.433
-2.240 -1.383
-2.327 -1.334
-2.414 -1.286
-2.503 -1.240
-2.593 -1.197
-2.685 -1.157
-2.778 -1.121
