x y
-3 1
-2.901 1.014
-2.804 1.037
-2.708 1.067
-2.615 1.104
-2.524 1.145
-2.435 1.190
-2.347 1.238
-2.261 1.288
-2.175 1.340
-2.090 1.392
-2.005 1.445
-1.920 1.498
-1.835 1.551
-1.750 1.604
-1.665 1.656
-1.580 1.708
-1.493 1.758
-1.406 1.808
-1.318 1.856
-1.230 1.902
-1.140 1.946
-1.050 1.989
-0.9579 2.029
-0.8652 2.066
-0.7714 2.100
-0.6764 2.132
-0.5805 2.160
-0.4836 2.185
-0.3858 2.206
-0.2872 2.222
-0.1880 2.235
-0.08834 2.243
0.01158 2.247
0.1116 2.247
0.2115 2.242
0.3110 2.233
0.4101 2.219
0.5085 2.201
0.6062 2.180
0.7029 2.154
0.7987 2.126
0.8935 2.094
0.9872 2.059
1.080 2.021
1.172 1.981
1.262 1.939
1.352 1.895
1.441 1.849
1.529 1.802
1.616 1.753
1.703 1.704
1.790 1.654
1.876 1.603
1.962 1.552
2.048 1.500
2.134 1.450
2.220 1.399
2.307 1.350
2.395 1.302
2.483 1.255
2.573 1.211
2.665 1.171
2.758 1.134
2.853 1.103
2.950 1.078
3.048 1.061
3.148 1.052
3.248 1.052
3.347 1.062
3.445 1.081
3.542 1.108
3.636 1.141
3.728 1.180
3.819 1.222
3.908 1.268
3.996 1.316
4.082 1.365
4.169 1.416
4.254 1.468
4.339 1.520
4.425 1.572
4.510 1.624
4.596 1.676
4.682 1.727
4.768 1.777
4.855 1.826
4.943 1.874
5.032 1.920
5.122 1.964
5.212 2.007
5.304 2.047
5.397 2.084
5.490 2.119
5.585 2.151
5.681 2.180
5.778 2.205
5.875 2.226
5.974 2.244
6.073 2.257
6.173 2.266
6.272 2.271
6.372 2.272
6.472 2.268
6.572 2.259
6.671 2.247
6.770 2.230
6.868 2.210
6.965 2.186
7.061 2.158
7.156 2.127
7.250 2.093
7.343 2.056
7.435 2.017
7.526 1.976
7.616 1.933
7.706 1.888
7.794 1.842
7.882 1.794
7.970 1.745
8.057 1.696
8.143 1.646
8.229 1.595
8.316 1.545
8.402 1.495
8.489 1.445
8.577 1.397
8.665 1.349
8.754 1.304
8.844 1.261
