x y
2.14000000000000 0.000000000000000
2.140 -0.1000
2.128 -0.1993
2.105 -0.2967
2.073 -0.3912
2.032 -0.4825
1.985 -0.5705
1.932 -0.6554
1.874 -0.7373
1.813 -0.8165
1.749 -0.8930
1.682 -0.9670
1.612 -1.039
1.540 -1.108
1.466 -1.175
1.389 -1.240
1.311 -1.302
1.231 -1.361
1.148 -1.418
1.064 -1.472
0.9783 -1.523
0.8905 -1.571
0.8009 -1.616
0.7095 -1.656
0.6164 -1.693
0.5218 -1.725
0.4257 -1.753
0.3284 -1.776
0.2300 -1.794
0.1308 -1.806
0.03104 -1.814
-0.06895 -1.815
-0.1689 -1.811
-0.2684 -1.802
-0.3674 -1.788
-0.4654 -1.768
-0.5623 -1.743
-0.6580 -1.714
-0.7522 -1.680
-0.8448 -1.643
-0.9358 -1.601
-1.025 -1.556
-1.113 -1.508
-1.199 -1.457
-1.283 -1.403
-1.366 -1.347
-1.446 -1.288
-1.526 -1.227
-1.603 -1.164
-1.679 -1.099
-1.753 -1.032
-1.826 -0.9628
-1.896 -0.8919
-1.965 -0.8191
-2.031 -0.7443
-2.095 -0.6673
-2.156 -0.5881
-2.214 -0.5064
-2.267 -0.4219
-2.315 -0.3343
-2.357 -0.2433
-2.389 -0.1487
-2.410 -0.05099
-2.418 0.04872
-2.411 0.1485
-2.389 0.2461
-2.355 0.3402
-2.312 0.4303
-2.262 0.5167
-2.206 0.5997
-2.146 0.6799
-2.083 0.7576
-2.017 0.8331
-1.950 0.9065
-1.880 0.9781
-1.808 1.048
-1.735 1.116
-1.660 1.182
-1.583 1.247
-1.505 1.309
-1.426 1.370
-1.345 1.428
-1.262 1.485
-1.178 1.539
-1.092 1.590
-1.005 1.639
-0.9161 1.685
-0.8257 1.727
-0.7336 1.766
-0.6401 1.802
-0.5452 1.833
-0.4490 1.861
-0.3516 1.883
-0.2532 1.901
-0.1541 1.914
-0.05441 1.922
0.04556 1.925
0.1455 1.923
0.2452 1.915
0.3445 1.903
0.4429 1.885
0.5404 1.863
0.6368 1.836
0.7320 1.806
0.8257 1.771
0.9181 1.733
1.009 1.691
1.098 1.646
1.186 1.599
1.273 1.548
1.358 1.496
1.442 1.441
1.524 1.384
1.605 1.326
1.685 1.266
1.764 1.204
1.841 1.141
1.918 1.076
1.993 1.011
2.067 0.9435
