-5.0e0 -5.0e0 1.928552e-22 1.928552e-22
-4.79593e0 -5.0e0 1.42366e-21 1.42366e-21
-4.59186e0 -5.0e0 9.669998e-21 9.669998e-21
-4.38779e0 -5.0e0 6.04306e-20 6.04306e-20
-4.1837201e0 -5.0e0 3.474748e-19 3.474748e-19
-3.9796501e0 -5.0e0 1.838263e-18 1.838263e-18
-3.7755801e0 -5.0e0 8.948183e-18 8.948183e-18
-3.5715102e0 -5.0e0 4.007529e-17 4.007529e-17
-3.3674402e0 -5.0e0 1.651392e-16 1.651392e-16
-3.1633702e0 -5.0e0 6.261229e-16 6.261229e-16
-2.9593002e0 -5.0e0 2.184155e-15 2.184155e-15
-2.7552303e0 -5.0e0 7.010532e-15 7.010532e-15
-2.5511603e0 -5.0e0 2.070319e-14 2.070319e-14
-2.3470903e0 -5.0e0 5.625354e-14 5.625354e-14
-2.1430203e0 -5.0e0 1.406316e-13 1.406316e-13
-1.9389503e0 -5.0e0 3.234952e-13 3.234952e-13
-1.7348804e0 -5.0e0 6.846416e-13 6.846416e-13
-1.5308104e0 -5.0e0 1.333179e-12 1.333179e-12
-1.3267404e0 -5.0e0 2.388596e-12 2.388596e-12
-1.1226704e0 -5.0e0 3.937575e-12 3.937575e-12
-9.186005e-1 -5.0e0 5.972302e-12 5.972302e-12
-7.1453049e-1 -5.0e0 8.334499e-12 8.334499e-12
-5.1046048e-1 -5.0e0 1.070139e-11 1.070139e-11
-3.0639047e-1 -5.0e0 1.264258e-11 1.264258e-11
-1.0232047e-1 -5.0e0 1.37424e-11 1.37424e-11
1.0174954e-1 -5.0e0 1.374408e-11 1.374408e-11
3.0581955e-1 -5.0e0 1.2647e-11 1.2647e-11
5.0988956e-1 -5.0e0 1.070755e-11 1.070755e-11
7.1395956e-1 -5.0e0 8.341374e-12 8.341374e-12
9.1802957e-1 -5.0e0 5.978615e-12 5.978615e-12
1.12209958e0 -5.0e0 3.942584e-12 3.942584e-12
1.3261696e0 -5.0e0 2.392218e-12 2.392218e-12
1.5302396e0 -5.0e0 1.335516e-12 1.335516e-12
1.7343095e0 -5.0e0 6.860046e-13 6.860046e-13
1.9383795e0 -5.0e0 3.242099e-13 3.242099e-13
2.1424495e0 -5.0e0 1.409784e-13 1.409784e-13
2.3465195e0 -5.0e0 5.640494e-14 5.640494e-14
2.5505894e0 -5.0e0 2.076341e-14 2.076341e-14
2.7546594e0 -5.0e0 7.032585e-15 7.032585e-15
2.9587294e0 -5.0e0 2.19157e-15 2.19157e-15
3.1627994e0 -5.0e0 6.283894e-16 6.283894e-16
3.3668694e0 -5.0e0 1.65774e-16 1.65774e-16
3.5709393e0 -5.0e0 4.02395e-17 4.02395e-17
3.7750093e0 -5.0e0 8.98686e-18 8.98686e-18
3.9790793e0 -5.0e0 1.846643e-18 1.846643e-18
4.1831493e0 -5.0e0 3.491313e-19 3.491313e-19
4.3872192e0 -5.0e0 6.073381e-20 6.073381e-20
4.5912892e0 -5.0e0 9.720842e-21 9.720842e-21
4.7953592e0 -5.0e0 1.431485e-21 1.431485e-21
4.9994292e0 -5.0e0 1.939578e-22 1.939578e-22

-5.0e0 -4.79593e0 1.42366e-21 1.42366e-21
-4.79593e0 -4.79593e0 1.05096e-20 1.05096e-20
-4.59186e0 -4.79593e0 7.138464e-20 7.138464e-20
-4.38779e0 -4.79593e0 4.461058e-19 4.461058e-19
-4.1837201e0 -4.79593e0 2.565077e-18 2.565077e-18
-3.9796501e0 -4.79593e0 1.35702e-17 1.35702e-17
-3.7755801e0 -4.79593e0 6.605597e-17 6.605597e-17
-3.5715102e0 -4.79593e0 2.95839e-16 2.95839e-16
-3.3674402e0 -4.79593e0 1.219061e-15 1.219061e-15
-3.1633702e0 -4.79593e0 4.62205e-15 4.62205e-15
-2.9593002e0 -4.79593e0 1.612357e-14 1.612357e-14
-2.7552303e0 -4.79593e0 5.175226e-14 5.175226e-14
-2.5511603e0 -4.79593e0 1.528322e-13 1.528322e-13
-2.3470903e0 -4.79593e0 4.152681e-13 4.152681e-13
-2.1430203e0 -4.79593e0 1.038158e-12 1.038158e-12
-1.9389503e0 -4.79593e0 2.388081e-12 2.388081e-12
-1.7348804e0 -4.79593e0 5.054095e-12 5.054095e-12
-1.5308104e0 -4.79593e0 9.841765e-12 9.841765e-12
-1.3267404e0 -4.79593e0 1.763297e-11 1.763297e-11
-1.1226704e0 -4.79593e0 2.906734e-11 2.906734e-11
-9.186005e-1 -4.79593e0 4.4088e-11 4.4088e-11
-7.1453049e-1 -4.79593e0 6.152599e-11 6.152599e-11
-5.1046048e-1 -4.79593e0 7.899974e-11 7.899974e-11
-3.0639047e-1 -4.79593e0 9.333087e-11 9.333087e-11
-1.0232047e-1 -4.79593e0 1.014474e-10 1.014474e-10
1.0174954e-1 -4.79593e0 1.014597e-10 1.014597e-10
