x y
4.14000000000000 0.000000000000000
4.1400 0.0029146
4.1401 0.0058288
4.1402 0.0087421
4.1405 0.011654
4.1408 0.014563
4.1412 0.017469
4.1417 0.020371
4.1423 0.023269
4.1429 0.026162
4.1436 0.029049
4.1444 0.031929
4.1453 0.034802
4.1462 0.037668
4.1472 0.040525
4.1483 0.043374
4.1495 0.046213
4.1507 0.049043
4.1520 0.051862
4.1534 0.054670
4.1549 0.057466
4.1564 0.060251
4.1579 0.063024
4.1596 0.065785
4.1613 0.068532
4.1630 0.071266
4.1649 0.073987
4.1667 0.076694
4.1687 0.079387
4.1707 0.082065
4.1727 0.084729
4.1748 0.087378
4.1769 0.090013
4.1791 0.092632
4.1814 0.095236
4.1837 0.097824
4.1860 0.10040
4.1884 0.10296
4.1908 0.10550
4.1932 0.10802
4.1957 0.11054
4.1983 0.11303
4.2009 0.11551
4.2035 0.11797
4.2061 0.12042
4.2088 0.12285
4.2115 0.12527
4.2142 0.12767
4.2170 0.13006
4.2198 0.13243
4.2227 0.13478
4.2255 0.13712
4.2284 0.13945
4.2313 0.14176
4.2342 0.14405
4.2372 0.14633
4.2402 0.14860
4.2432 0.15085
4.2462 0.15308
4.2493 0.15530
4.2523 0.15751
4.2554 0.15970
4.2585 0.16188
4.2616 0.16404
4.2648 0.16619
4.2679 0.16833
4.2711 0.17045
4.2743 0.17256
4.2775 0.17466
4.2807 0.17674
4.2839 0.17881
4.2871 0.18087
4.2904 0.18292
4.2936 0.18495
4.2969 0.18697
4.3002 0.18897
4.3035 0.19097
4.3068 0.19295
4.3101 0.19492
4.3134 0.19688
4.3167 0.19883
4.3201 0.20077
4.3234 0.20269
4.3268 0.20460
4.3301 0.20651
4.3335 0.20840
4.3369 0.21028
4.3402 0.21215
4.3436 0.21401
4.3470 0.21585
4.3504 0.21769
4.3538 0.21952
4.3572 0.22134
4.3606 0.22314
4.3641 0.22494
4.3675 0.22673
4.3709 0.22851
4.3743 0.23027
4.3778 0.23203
4.3812 0.23378
4.3847 0.23552
4.3881 0.23725
4.3915 0.23898
4.3950 0.24069
4.3984 0.24239
4.4019 0.24409
4.4054 0.24577
4.4088 0.24745
4.4123 0.24912
4.4157 0.25078
4.4192 0.25244
4.4227 0.25408
4.4262 0.25572
4.4296 0.25734
4.4331 0.25897
4.4366 0.26058
4.4401 0.26218
4.4435 0.26378
4.4470 0.26537
4.4505 0.26695
4.4540 0.26852
4.4575 0.27009
4.4609 0.27165
4.4644 0.27320
4.4679 0.27475
4.4714 0.27629
4.4749 0.27782
4.4784 0.27934
4.4818 0.28086
4.4853 0.28237
4.4888 0.28387
4.4923 0.28537
4.4958 0.28686
4.4993 0.28835
4.5028 0.28982
4.5063 0.29130
