x y
9.25000000000000 -1.00000000000000
9.2476 -1.0001
9.2451 -1.0001
9.2427 -1.0002
9.2402 -1.0002
9.2378 -1.0003
9.2354 -1.0003
9.2329 -1.0004
9.2305 -1.0004
9.2280 -1.0005
9.2256 -1.0006
9.2231 -1.0006
9.2207 -1.0007
9.2183 -1.0007
9.2158 -1.0008
9.2134 -1.0009
9.2109 -1.0009
9.2085 -1.0010
9.2061 -1.0011
9.2036 -1.0011
9.2012 -1.0012
9.1988 -1.0013
9.1964 -1.0013
9.1939 -1.0014
9.1915 -1.0015
9.1891 -1.0015
9.1867 -1.0016
9.1842 -1.0017
9.1818 -1.0018
9.1794 -1.0018
9.1770 -1.0019
9.1745 -1.0020
9.1721 -1.0021
9.1697 -1.0021
9.1673 -1.0022
9.1648 -1.0023
9.1624 -1.0024
9.1600 -1.0024
9.1575 -1.0025
9.1551 -1.0026
9.1527 -1.0027
9.1503 -1.0028
9.1478 -1.0028
9.1454 -1.0029
9.1430 -1.0030
9.1406 -1.0031
9.1381 -1.0032
9.1357 -1.0033
9.1333 -1.0033
9.1309 -1.0034
9.1285 -1.0035
9.1261 -1.0036
9.1237 -1.0037
9.1213 -1.0038
9.1189 -1.0039
9.1164 -1.0040
9.1140 -1.0041
9.1116 -1.0041
9.1092 -1.0042
9.1068 -1.0043
9.1044 -1.0044
9.1020 -1.0045
9.0996 -1.0046
9.0972 -1.0047
9.0947 -1.0048
9.0923 -1.0049
9.0899 -1.0050
9.0875 -1.0051
9.0851 -1.0052
9.0827 -1.0053
9.0803 -1.0054
9.0779 -1.0055
9.0755 -1.0056
9.0731 -1.0057
9.0707 -1.0058
9.0683 -1.0059
9.0659 -1.0060
9.0635 -1.0061
9.0611 -1.0062
9.0587 -1.0063
9.0563 -1.0064
9.0539 -1.0065
9.0515 -1.0067
9.0491 -1.0068
9.0467 -1.0069
9.0443 -1.0070
9.0419 -1.0071
9.0396 -1.0072
9.0372 -1.0073
9.0348 -1.0074
9.0324 -1.0075
9.0300 -1.0077
9.0276 -1.0078
9.0252 -1.0079
9.0228 -1.0080
9.0204 -1.0081
9.0181 -1.0082
9.0157 -1.0083
9.0133 -1.0085
9.0109 -1.0086
9.0085 -1.0087
9.0062 -1.0088
9.0038 -1.0089
9.0014 -1.0091
8.9990 -1.0092
8.9966 -1.0093
8.9943 -1.0094
8.9919 -1.0095
8.9895 -1.0097
8.9871 -1.0098
8.9847 -1.0099
8.9824 -1.0100
8.9800 -1.0102
8.9776 -1.0103
8.9753 -1.0104
8.9729 -1.0105
8.9705 -1.0107
8.9682 -1.0108
8.9658 -1.0109
8.9634 -1.0111
8.9611 -1.0112
8.9587 -1.0113
8.9563 -1.0115
8.9540 -1.0116
8.9516 -1.0117
8.9492 -1.0119
8.9469 -1.0120
8.9445 -1.0121
8.9422 -1.0123
8.9398 -1.0124
8.9374 -1.0125
8.9351 -1.0127
8.9327 -1.0128
8.9304 -1.0129
8.9280 -1.0131
8.9257 -1.0132
8.9233 -1.0134
8.9210 -1.0135
8.9186 -1.0136
8.9163 -1.0138
8.9139 -1.0139
8.9116 -1.0141
8.9092 -1.0142
8.9069 -1.0143
8.9045 -1.0145
8.9022 -1.0146
8.8998 -1.0148
8.8975 -1.0149
8.8951 -1.0151
8.8928 -1.0152
8.8905 -1.0154
8.8881 -1.0155
8.8858 -1.0156
8.8835 -1.0158
8.8811 -1.0159
8.8788 -1.0161
8.8765 -1.0162
8.8741 -1.0164
8.8718 -1.0165
8.8695 -1.0167
8.8671 -1.0168
8.8648 -1.0170
8.8625 -1.0171
8.8601 -1.0173
8.8578 -1.0174
8.8555 -1.0176
8.8531 -1.0178
8.8508 -1.0179
8.8485 -1.0181
8.8462 -1.0182
8.8439 -1.0184
8.8416 -1.0185
8.8392 -1.0187
8.8369 -1.0188
8.8346 -1.0190
8.8323 -1.0192
8.8300 -1.0193
8.8276 -1.0195
8.8253 -1.0196
8.8230 -1.0198
8.8207 -1.0200
8.8184 -1.0201
8.8161 -1.0203
8.8138 -1.0204
8.8114 -1.0206
8.8091 -1.0208
8.8068 -1.0209
8.8045 -1.0211
8.8022 -1.0213
8.7999 -1.0214
8.7976 -1.0216
8.7953 -1.0218
8.7930 -1.0219
8.7907 -1.0221
8.7884 -1.0223
8.7861 -1.0224
8.7838 -1.0226
8.7815 -1.0228
8.7792 -1.0229
8.7769 -1.0231
8.7746 -1.0233
8.7723 -1.0234
8.7700 -1.0236
8.7677 -1.0238
8.7655 -1.0239
8.7632 -1.0241
8.7609 -1.0243
8.7586 -1.0245
8.7563 -1.0246
8.7540 -1.0248
8.7517 -1.0250
8.7494 -1.0251
8.7471 -1.0253
8.7449 -1.0255
8.7426 -1.0257
8.7403 -1.0258
8.7380 -1.0260
8.7357 -1.0262
8.7335 -1.0264
8.7312 -1.0266
8.7289 -1.0267
8.7267 -1.0269
8.7244 -1.0271
8.7221 -1.0273
8.7198 -1.0274
8.7176 -1.0276
8.7153 -1.0278
8.7130 -1.0280
8.7107 -1.0282
8.7085 -1.0283
8.7062 -1.0285
8.7039 -1.0287
8.7017 -1.0289
8.6994 -1.0291
8.6971 -1.0292
8.6949 -1.0294
8.6926 -1.0296
8.6904 -1.0298
8.6881 -1.0300
8.6859 -1.0302
8.6836 -1.0303
8.6813 -1.0305
8.6791 -1.0307
8.6768 -1.0309
8.6746 -1.0311
8.6723 -1.0313
8.6700 -1.0315
8.6678 -1.0317
8.6655 -1.0318
8.6633 -1.0320
8.6611 -1.0322
8.6588 -1.0324
8.6566 -1.0326
8.6543 -1.0328
8.6521 -1.0330
8.6498 -1.0332
8.6476 -1.0333
8.6454 -1.0335
8.6431 -1.0337
8.6409 -1.0339
8.6386 -1.0341
8.6364 -1.0343
8.6341 -1.0345
8.6319 -1.0347
8.6297 -1.0349
8.6274 -1.0351
8.6252 -1.0353
8.6230 -1.0355
8.6208 -1.0357
8.6185 -1.0358
8.6163 -1.0360
8.6141 -1.0362
8.6118 -1.0364
8.6096 -1.0366
8.6074 -1.0368
8.6052 -1.0370
8.6029 -1.0372
8.6007 -1.0374
8.5985 -1.0376
8.5963 -1.0378
8.5940 -1.0380
8.5918 -1.0382
8.5896 -1.0384
8.5874 -1.0386
8.5852 -1.0388
8.5830 -1.0390
8.5807 -1.0392
8.5785 -1.0394
8.5763 -1.0396
8.5741 -1.0398
8.5719 -1.0400
8.5697 -1.0402
8.5675 -1.0404
8.5653 -1.0406
8.5630 -1.0408
8.5608 -1.0410
8.5586 -1.0412
8.5564 -1.0414
8.5542 -1.0416
8.5520 -1.0418
8.5498 -1.0420
8.5476 -1.0422
8.5454 -1.0424
8.5432 -1.0426
8.5410 -1.0428
8.5388 -1.0430
8.5366 -1.0432
8.5344 -1.0434
8.5322 -1.0436
8.5300 -1.0438
8.5278 -1.0440
8.5257 -1.0442
8.5235 -1.0444
8.5213 -1.0447
8.5191 -1.0449
8.5169 -1.0451
8.5147 -1.0453
8.5125 -1.0455
8.5103 -1.0457
8.5081 -1.0459
8.5060 -1.0461
8.5038 -1.0463
8.5016 -1.0465
8.4994 -1.0467
8.4972 -1.0469
8.4951 -1.0471
8.4929 -1.0473
8.4907 -1.0476
8.4885 -1.0478
8.4863 -1.0480
8.4841 -1.0482
8.4820 -1.0484
8.4798 -1.0486
8.4776 -1.0488
8.4754 -1.0490
8.4733 -1.0492
8.4711 -1.0494
8.4689 -1.0497
8.4668 -1.0499
8.4646 -1.0501
8.4624 -1.0503
8.4603 -1.0505
8.4581 -1.0507
8.4559 -1.0509
8.4538 -1.0511
8.4516 -1.0513
8.4494 -1.0516
8.4473 -1.0518
8.4451 -1.0520
8.4429 -1.0522
8.4408 -1.0524
8.4386 -1.0526
8.4365 -1.0528
8.4343 -1.0531
8.4322 -1.0533
8.4300 -1.0535
8.4279 -1.0537
8.4257 -1.0539
8.4236 -1.0541
8.4214 -1.0543
8.4193 -1.0546
8.4171 -1.0548
8.4150 -1.0550
8.4128 -1.0552
8.4107 -1.0554
8.4085 -1.0556
8.4064 -1.0559
8.4042 -1.0561
8.4021 -1.0563
8.3999 -1.0565
8.3978 -1.0567
8.3956 -1.0569
8.3935 -1.0572
8.3914 -1.0574
8.3892 -1.0576
8.3871 -1.0578
8.3849 -1.0580
8.3828 -1.0582
8.3807 -1.0585
8.3785 -1.0587
8.3764 -1.0589
8.3743 -1.0591
8.3721 -1.0593
8.3700 -1.0595
8.3679 -1.0598
8.3657 -1.0600
8.3636 -1.0602
8.3615 -1.0604
8.3593 -1.0606
8.3572 -1.0609
8.3551 -1.0611
8.3529 -1.0613
8.3508 -1.0615
8.3487 -1.0617
8.3466 -1.0620
8.3445 -1.0622
8.3423 -1.0624
8.3402 -1.0626
8.3381 -1.0628
8.3360 -1.0631
8.3338 -1.0633
8.3317 -1.0635
8.3296 -1.0637
8.3275 -1.0640
8.3254 -1.0642
8.3232 -1.0644
8.3211 -1.0646
8.3190 -1.0648
8.3169 -1.0651
8.3148 -1.0653
8.3127 -1.0655
8.3105 -1.0657
8.3084 -1.0659
8.3063 -1.0662
8.3042 -1.0664
8.3021 -1.0666
8.3000 -1.0668
8.2979 -1.0671
8.2958 -1.0673
8.2937 -1.0675
8.2916 -1.0677
8.2895 -1.0680
8.2874 -1.0682
8.2853 -1.0684
8.2832 -1.0686
8.2811 -1.0688
8.2790 -1.0691
8.2769 -1.0693
8.2747 -1.0695
8.2726 -1.0697
8.2705 -1.0700
8.2684 -1.0702
8.2663 -1.0704
8.2643 -1.0706
8.2622 -1.0709
8.2601 -1.0711
8.2580 -1.0713
8.2559 -1.0715
8.2538 -1.0718
8.2517 -1.0720
8.2496 -1.0722
8.2475 -1.0724
8.2454 -1.0727
8.2433 -1.0729
8.2413 -1.0731
8.2392 -1.0733
8.2371 -1.0736
8.2350 -1.0738
8.2329 -1.0740
8.2308 -1.0742
8.2287 -1.0745
8.2266 -1.0747
8.2245 -1.0749
8.2224 -1.0751
8.2204 -1.0754
8.2183 -1.0756
8.2162 -1.0758
8.2141 -1.0760
8.2121 -1.0763
8.2100 -1.0765
8.2079 -1.0767
8.2058 -1.0770
8.2038 -1.0772
8.2017 -1.0774
8.1996 -1.0776
8.1975 -1.0779
8.1955 -1.0781
8.1934 -1.0783
8.1913 -1.0785
8.1892 -1.0788
8.1872 -1.0790
8.1851 -1.0792
8.1830 -1.0794
8.1809 -1.0797
8.1789 -1.0799
8.1768 -1.0801
8.1747 -1.0804
8.1726 -1.0806
8.1706 -1.0808
8.1685 -1.0810
8.1664 -1.0813
8.1644 -1.0815
8.1623 -1.0817
8.1603 -1.0819
8.1582 -1.0822
8.1561 -1.0824
8.1541 -1.0826
8.1520 -1.0829
8.1500 -1.0831
8.1479 -1.0833
8.1458 -1.0835
8.1438 -1.0838
8.1417 -1.0840
8.1397 -1.0842
8.1376 -1.0844
8.1355 -1.0847
8.1335 -1.0849
8.1314 -1.0851
8.1294 -1.0854
8.1273 -1.0856
8.1252 -1.0858
8.1232 -1.0860
8.1211 -1.0863
8.1191 -1.0865
8.1170 -1.0867
8.1150 -1.0869
8.1129 -1.0872
8.1109 -1.0874
8.1088 -1.0876
8.1068 -1.0879
8.1047 -1.0881
8.1027 -1.0883
8.1006 -1.0885
8.0986 -1.0888
8.0966 -1.0890
8.0945 -1.0892
8.0925 -1.0895
8.0904 -1.0897
8.0884 -1.0899
8.0863 -1.0901
8.0843 -1.0904
8.0822 -1.0906
8.0802 -1.0908
8.0782 -1.0911
8.0761 -1.0913
8.0741 -1.0915
8.0720 -1.0917
8.0700 -1.0920
8.0679 -1.0922
8.0659 -1.0924
8.0638 -1.0927
8.0618 -1.0929
8.0598 -1.0931
8.0577 -1.0933
8.0557 -1.0936
8.0536 -1.0938
8.0516 -1.0940
8.0496 -1.0943
8.0476 -1.0945
8.0455 -1.0947
8.0435 -1.0949
8.0415 -1.0952
8.0394 -1.0954
8.0374 -1.0956
8.0354 -1.0959
8.0334 -1.0961
8.0313 -1.0963
8.0293 -1.0965
8.0273 -1.0968
8.0252 -1.0970
8.0232 -1.0972
8.0212 -1.0975
8.0191 -1.0977
8.0171 -1.0979
8.0151 -1.0981
8.0131 -1.0984
8.0110 -1.0986
8.0090 -1.0988
8.0070 -1.0990
8.0049 -1.0993
8.0029 -1.0995
8.0009 -1.0997
7.9989 -1.0999
7.9968 -1.1002
7.9948 -1.1004
7.9928 -1.1006
7.9908 -1.1009
7.9888 -1.1011
7.9867 -1.1013
7.9847 -1.1015
7.9827 -1.1018
7.9807 -1.1020
7.9786 -1.1022
7.9766 -1.1024
7.9746 -1.1027
7.9726 -1.1029
7.9706 -1.1031
7.9686 -1.1034
7.9666 -1.1036
7.9645 -1.1038
7.9625 -1.1040
7.9605 -1.1043
7.9585 -1.1045
7.9565 -1.1047
7.9545 -1.1049
7.9525 -1.1052
7.9504 -1.1054
7.9484 -1.1056
7.9464 -1.1058
7.9444 -1.1061
7.9424 -1.1063
7.9404 -1.1065
7.9384 -1.1068
7.9363 -1.1070
7.9343 -1.1072
7.9323 -1.1074
7.9303 -1.1077
7.9283 -1.1079
7.9263 -1.1081
7.9243 -1.1083
7.9223 -1.1086
7.9203 -1.1088
7.9183 -1.1090
7.9163 -1.1092
7.9143 -1.1095
7.9123 -1.1097
7.9103 -1.1099
7.9083 -1.1101
