x y
2.14000000000000 0.000000000000000
2.1400 -0.0029086
2.1399 -0.0058169
2.1398 -0.0087243
2.1395 -0.011630
2.1392 -0.014533
2.1388 -0.017433
2.1383 -0.020330
2.1378 -0.023222
2.1371 -0.026109
2.1364 -0.028990
2.1356 -0.031865
2.1348 -0.034733
2.1338 -0.037593
2.1328 -0.040445
2.1317 -0.043288
2.1306 -0.046122
2.1293 -0.048947
2.1280 -0.051761
2.1267 -0.054564
2.1252 -0.057356
2.1237 -0.060137
2.1222 -0.062905
2.1205 -0.065661
2.1188 -0.068404
2.1171 -0.071134
2.1153 -0.073851
2.1134 -0.076554
2.1115 -0.079243
2.1095 -0.081918
2.1075 -0.084578
2.1054 -0.087224
2.1033 -0.089855
2.1011 -0.092471
2.0989 -0.095072
2.0966 -0.097658
2.0943 -0.10023
2.0919 -0.10278
2.0895 -0.10532
2.0870 -0.10785
2.0845 -0.11036
2.0820 -0.11285
2.0795 -0.11533
2.0769 -0.11779
2.0742 -0.12023
2.0715 -0.12266
2.0688 -0.12508
2.0661 -0.12748
2.0634 -0.12986
2.0606 -0.13223
2.0577 -0.13459
2.0549 -0.13692
2.0520 -0.13925
2.0491 -0.14156
2.0462 -0.14385
2.0432 -0.14613
2.0403 -0.14839
2.0373 -0.15064
2.0343 -0.15287
2.0312 -0.15509
2.0282 -0.15730
2.0251 -0.15949
2.0220 -0.16167
2.0189 -0.16383
2.0158 -0.16598
2.0126 -0.16812
2.0095 -0.17024
2.0063 -0.17235
2.0031 -0.17445
1.9999 -0.17653
1.9967 -0.17860
1.9935 -0.18066
1.9902 -0.18270
1.9870 -0.18474
1.9837 -0.18676
1.9804 -0.18876
1.9771 -0.19076
1.9738 -0.19274
1.9705 -0.19471
1.9672 -0.19667
1.9639 -0.19862
1.9606 -0.20056
1.9572 -0.20248
1.9539 -0.20439
1.9505 -0.20630
1.9472 -0.20819
1.9438 -0.21007
1.9404 -0.21194
1.9371 -0.21380
1.9337 -0.21565
1.9303 -0.21748
1.9269 -0.21931
1.9235 -0.22113
1.9201 -0.22294
1.9167 -0.22473
1.9132 -0.22652
1.9098 -0.22830
1.9064 -0.23007
1.9030 -0.23183
1.8995 -0.23358
1.8961 -0.23532
1.8927 -0.23705
1.8892 -0.23877
1.8858 -0.24049
1.8823 -0.24219
1.8789 -0.24389
1.8754 -0.24557
1.8720 -0.24725
1.8685 -0.24892
1.8650 -0.25058
1.8616 -0.25224
1.8581 -0.25388
1.8546 -0.25552
1.8512 -0.25715
1.8477 -0.25877
1.8442 -0.26038
1.8408 -0.26199
1.8373 -0.26358
1.8338 -0.26517
1.8303 -0.26676
1.8268 -0.26833
1.8234 -0.26990
1.8199 -0.27146
1.8164 -0.27301
1.8129 -0.27456
1.8094 -0.27610
1.8060 -0.27763
1.8025 -0.27915
1.7990 -0.28067
1.7955 -0.28218
1.7920 -0.28369
1.7885 -0.28519
1.7851 -0.28668
1.7816 -0.28816
1.7781 -0.28964
1.7746 -0.29111
1.7711 -0.29258
1.7676 -0.29404
1.7642 -0.29549
1.7607 -0.29694
1.7572 -0.29838
1.7537 -0.29982
1.7502 -0.30124
1.7467 -0.30267
1.7432 -0.30408
1.7398 -0.30550
1.7363 -0.30690
1.7328 -0.30830
1.7293 -0.30970
1.7258 -0.31108
1.7223 -0.31247
1.7189 -0.31384
1.7154 -0.31522
1.7119 -0.31658
1.7084 -0.31794
1.7049 -0.31930
1.7014 -0.32065
1.6980 -0.32200
1.6945 -0.32334
1.6910 -0.32467
1.6875 -0.32600
1.6840 -0.32733
1.6806 -0.32865
1.6771 -0.32996
1.6736 -0.33127
1.6701 -0.33258
1.6667 -0.33388
1.6632 -0.33517
1.6597 -0.33646
1.6562 -0.33775
1.6528 -0.33903
1.6493 -0.34031
1.6458 -0.34158
1.6423 -0.34285
1.6389 -0.34411
1.6354 -0.34537
1.6319 -0.34662
1.6285 -0.34787
1.6250 -0.34911
1.6215 -0.35036
1.6180 -0.35159
1.6146 -0.35282
1.6111 -0.35405
1.6076 -0.35527
1.6042 -0.35649
1.6007 -0.35771
1.5972 -0.35892
1.5938 -0.36012
1.5903 -0.36133
1.5868 -0.36253
1.5834 -0.36372
1.5799 -0.36491
1.5765 -0.36610
1.5730 -0.36728
1.5695 -0.36846
1.5661 -0.36963
1.5626 -0.37080
1.5591 -0.37197
1.5557 -0.37313
1.5522 -0.37429
1.5488 -0.37545
1.5453 -0.37660
1.5418 -0.37775
1.5384 -0.37889
1.5349 -0.38003
1.5315 -0.38117
1.5280 -0.38230
1.5246 -0.38343
1.5211 -0.38455
1.5176 -0.38568
1.5142 -0.38680
1.5107 -0.38791
1.5073 -0.38902
1.5038 -0.39013
1.5004 -0.39123
1.4969 -0.39233
1.4935 -0.39343
1.4900 -0.39453
1.4865 -0.39562
1.4831 -0.39671
1.4796 -0.39779
1.4762 -0.39887
1.4727 -0.39995
1.4693 -0.40102
1.4658 -0.40209
1.4624 -0.40316
1.4589 -0.40422
1.4555 -0.40528
1.4520 -0.40634
1.4486 -0.40740
1.4451 -0.40845
1.4417 -0.40950
1.4382 -0.41054
1.4348 -0.41158
1.4313 -0.41262
1.4278 -0.41366
1.4244 -0.41469
1.4209 -0.41572
1.4175 -0.41675
1.4140 -0.41777
1.4106 -0.41879
1.4071 -0.41981
1.4037 -0.42082
1.4002 -0.42183
1.3968 -0.42284
1.3933 -0.42385
1.3899 -0.42485
1.3864 -0.42585
1.3830 -0.42684
1.3795 -0.42784
1.3761 -0.42883
1.3726 -0.42982
1.3692 -0.43080
1.3657 -0.43178
1.3622 -0.43276
1.3588 -0.43374
1.3553 -0.43471
